% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sqrt(diag(C))", seed=257200, Thu Jan 19 16:01:10 2023, <python>{}</python>
1 7 1.734859727335569 0 0 1.4565404546606966 1.793382591011129 1.7949980308881226
2 14 1.767080919849899 0 0 1.464764871270113 1.9642463372557812 1.7652530075048514
3 21 1.5376249521180028 0 0 1.1732136968977025 1.6315775598791862 1.5092593584640017
4 28 1.4257910828428548 0 0 1.0696543428298115 1.4821879196498604 1.289731572560621
5 35 1.2006134404054478 0 0 0.8180092081953974 1.19584038185048 1.1013665854092005
6 42 1.3886206192379964 0 0 0.9222971487808443 1.2035809273955724 1.5021345175521434
7 49 1.1867509684466577 0 0 0.7062048080299944 0.8786134506761559 1.2393058416064744
8 56 1.0603729196596094 0 0 0.5523067321178152 0.6909406388885511 1.0838446942623392
9 63 1.0795526419430503 0 0 0.5073172868378223 0.7410697202821732 1.111567166653383
10 70 1.0361419037114863 0 0 0.46468295042405583 0.6720600116508401 1.13058234474598
11 77 0.8955338010152142 0 0 0.38252833743921233 0.533099584270161 0.9394178743543894
12 84 0.7136476897823216 0 0 0.27161991329805957 0.3547640446674792 0.7571594743145601
13 91 0.5658458429365998 0 0 0.19947592511696302 0.2397870553423309 0.5917408255127365
14 98 0.4875643909987431 0 0 0.1642363118142156 0.17710616912209043 0.5201287113909175
15 105 0.4575785691535893 0 0 0.15996643121646786 0.14973855976736417 0.47730639429242
16 112 0.3766850788274534 0 0 0.12764839794721988 0.10784437712162394 0.37614333062482186
17 119 0.30800418922673634 0 0 0.10133385306886565 0.0763559579475809 0.2905742089295764
18 126 0.2818291512672503 0 0 0.09378750859131606 0.05631376193098582 0.2651120245544079
19 133 0.29732653206567083 0 0 0.10410564883059326 0.05745001021608693 0.32181385257952555
20 140 0.2557191763792419 0 0 0.08437109798389056 0.04360177086011596 0.2775303464475652
