% # columns="iteration, evaluation, void, void, void, xmean", seed=257200, Thu Jan 19 16:01:10 2023, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 7 0 0 0 1.7652334596305606 1.8456706663294626 -0.6403977996826483
2 14 0 0 0 2.250742271156116 3.2588457000177335 1.3392901109315098
3 21 0 0 0 1.753583694313582 3.798560113653347 0.6765114272687722
4 28 0 0 0 2.2388417579801754 4.654127708489047 1.4544062740782142
5 35 0 0 0 2.20589198661012 4.344939696677429 1.8358432557366249
6 42 0 0 0 2.1020653547521473 4.444166808009279 3.1879179979868653
7 49 0 0 0 1.8805345403112197 3.8575704070322563 2.432853008670778
8 56 0 0 0 1.7886767192399695 4.054705417704568 3.1022612155427476
9 63 0 0 0 1.6907796970282303 4.665354926033237 3.7678562113513596
10 70 0 0 0 2.0682968488476576 4.661767276380072 2.4264389063078253
11 77 0 0 0 2.0505576014812923 4.645519939075211 2.1620035676780103
12 84 0 0 0 2.0024719086121596 4.693228919770289 2.1812640806142327
13 91 0 0 0 2.078993575789965 4.751175292514627 2.2632141198293962
14 98 0 0 0 2.150112552465874 4.73651785232827 1.8899009294537086
15 105 0 0 0 1.9855757638280274 4.711148770006024 1.9916231054062805
16 112 0 0 0 2.1127994470917373 4.735048481840997 2.0315348939751567
17 119 0 0 0 2.1474722988822657 4.749371498548288 1.9316627350954418
18 126 0 0 0 2.0926189207209767 4.712684392452283 1.8210971995802867
19 133 0 0 0 1.9982807841274461 4.704400020331345 2.2036774154921694
20 140 0 0 0 2.0005341075930385 4.709327985129342 2.2019496222961408
